,pfun,shm,ncons,fps_in,fps_out,frame_sz
65,long_computation_mt,ArrayQueue,1,492.0093103375104,100.68878616112816,262144
66,long_computation_mt,Queue,1,33411.01924695631,65.57336812821335,262144
67,long_computation_mt,Ring buffer,1,3537.672109898269,75.57094084994421,262144
68,long_computation_mt,MRB,1,1583.2123762564502,71.05661150770197,262144
69,long_computation_mt,ArrayQueue,1,569.1793149546319,62.20963041863103,262144
70,long_computation_mt,Queue,1,40034.04997385247,67.8855045794377,262144
71,long_computation_mt,Ring buffer,1,3902.916609285586,71.1300196108365,262144
72,long_computation_mt,MRB,1,1741.957213815159,81.96982794573869,262144
73,long_computation_mt,ArrayQueue,1,538.7391321780281,64.97029926082196,262144
74,long_computation_mt,Queue,1,53396.37026519025,72.32106546557505,262144
75,long_computation_mt,Ring buffer,1,4073.4022264940354,75.63312050810308,262144
76,long_computation_mt,MRB,1,1908.5258380098553,71.63079829757706,262144
77,long_computation_mt,ArrayQueue,1,569.2977105778133,100.55994122015035,262144
78,long_computation_mt,Queue,1,29592.35128057587,69.99484062327346,262144
79,long_computation_mt,Ring buffer,1,3775.0536403051096,73.91755126290386,262144
80,do_nothing,MRB,5,1985.1874018513358,1988.42387977555,262144
81,do_nothing,ArrayQueue,5,554.8679557828613,559.8954466426586,262144
82,do_nothing,Queue,5,109339.20927466957,156.46185283737907,262144
83,do_nothing,Ring buffer,5,6052.415654241334,6056.744417697208,262144
84,do_nothing,MRB,5,2168.5436398471325,2171.1532300101517,262144
85,do_nothing,ArrayQueue,5,522.4312256288474,526.7669644642102,262144
86,do_nothing,Queue,5,134430.23509910866,127.4492261859085,262144
87,do_nothing,Ring buffer,5,6704.924553005371,6710.84848711963,262144
88,do_nothing,MRB,5,1946.6756647759507,1950.3970172684476,262144
89,do_nothing,ArrayQueue,5,508.05878035440526,512.0611983818887,262144
90,do_nothing,Queue,5,109324.95333202362,126.16822134281385,262144
91,do_nothing,Ring buffer,5,6126.714027787963,6132.344761583295,262144
92,do_nothing,MRB,5,2040.107328562199,2043.8727040169094,262144
93,do_nothing,ArrayQueue,5,501.3934024604178,506.1221930602722,262144
94,do_nothing,Queue,5,101801.2772681643,131.71587643171867,262144
95,do_nothing,Ring buffer,5,5992.129643373801,5996.010639970281,262144
96,do_nothing,MRB,5,2187.6423604847573,2192.3665455267555,262144
97,do_nothing,ArrayQueue,5,556.8348866608969,562.8821261667008,262144
98,do_nothing,Queue,5,104010.21726122701,146.03621545628917,262144
99,do_nothing,Ring buffer,5,6428.179530711419,6431.621813363084,262144
100,average,MRB,5,4225.431886542781,1517.4608604819648,262144
101,average,ArrayQueue,5,515.2909998042187,519.7728268893035,262144
102,average,Queue,5,106182.9353190613,122.34582213419797,262144
103,average,Ring buffer,5,8393.350900174908,1395.562311887136,262144
104,average,MRB,5,3947.6799389545104,1491.8672916101823,262144
105,average,ArrayQueue,5,497.19331131183014,501.46416705348554,262144
106,average,Queue,5,105365.0227790613,111.84456227435936,262144
107,average,Ring buffer,5,8393.954327360521,1545.7216874139365,262144
108,average,MRB,5,4047.4549551257032,1501.7068356913517,262144
109,average,ArrayQueue,5,542.6890021785285,547.3414868654681,262144
110,average,Queue,5,105328.0080696521,136.82099219745228,262144
111,average,Ring buffer,5,7760.853106762018,1533.4554656842224,262144
112,average,MRB,5,3215.740753110977,1471.9368398240283,262144
113,average,ArrayQueue,5,492.29499930136507,495.9509264895502,262144
114,average,Queue,5,107504.95788177177,116.0844043280826,262144
115,average,Ring buffer,5,8054.43507650341,1559.2545640506078,262144
116,average,MRB,5,3137.619704725965,1512.0202800366326,262144
117,average,ArrayQueue,5,536.1938888096677,541.3985952531315,262144
118,average,Queue,5,105128.0875137248,116.45571692758891,262144
119,average,Ring buffer,5,7006.228410571508,1564.8418905811197,262144
120,long_computation_st,MRB,5,4125.349341582523,418.9099431299171,262144
121,long_computation_st,ArrayQueue,5,588.110082816545,438.39317221442906,262144
122,long_computation_st,Queue,5,111715.43259732114,116.41380715010433,262144
123,long_computation_st,Ring buffer,5,8477.228650581446,458.1081782222695,262144
124,long_computation_st,MRB,5,4239.8340916805555,396.0845917224631,262144
125,long_computation_st,ArrayQueue,5,607.5357119495518,376.9733543703384,262144
126,long_computation_st,Queue,5,108739.31687937945,114.50663019644533,262144
127,long_computation_st,Ring buffer,5,9246.756662221338,440.1713306099506,262144
128,long_computation_st,MRB,5,3242.5036409929266,387.12992260964626,262144
129,long_computation_st,ArrayQueue,5,582.1034531762917,394.35451027299024,262144
130,long_computation_st,Queue,5,98739.64228705943,131.57695448538095,262144
131,long_computation_st,Ring buffer,5,7676.590104169246,340.1062030489808,262144
